ETAPA,FORNECEDOR,CNPJ,DATA DE EMISSÃO,DATA DE RECEBIMENTO,DATA DE VENCIMENTO,Nº DO DOCUMENTO,VALOR,MARCA,CENTRO DE CUSTO,FILIAL,TIPO DE DOCUMENTO,TIPO DE SERVIÇO,CÓDIGO DO SERVIÇO,HEFLO,DATA ABERTURA HEFLO,PC,DATA APROVAÇÃO,V360,DATA EDIÇÃO V360,RESPONSÁVEL,DATA DE PAGAMENTO REAL,STATUS,DIAS RESTANTES (ENVIO P/ TIME PAG.),ALERTA (ENVIO P/ TIME PAG.),DATA DE PAGAMENTO IDEAL,STATUS DO PAGAMENTO,OBSERVAÇÕES,FORMA DE PAGAMENTO,ENCARGO FINANCEIRO,VALOR DO ENCARGO
PAGO,KM STAFF,45238294000122,03/03/2026,03/03/2026,10/04/2026,1764,"R$ 7.326,27",IS,3073,100111,NFS,SERVIÇO DE MANUSEIO,00110088,139281,03/03/2026,SELTSI,09/03/2026,365647,09/03/2026,PEDRO GUILHERME,14/04/2026,PAGO,,,,PAGO EM ATRASO,A nota ficou desde o dia 11/03 no status de Aguardando Pagamento da Nota e só foi paga 14/04.,,,
PAGO,BRASIL SERVIÇOS,32957767000108,03/03/2026,03/03/2026,23/03/2026,1516,"R$ 16.332,25",IS,3073,100111,NFS,SERVIÇO DE MANUSEIO,00110088,139758,09/03/2026,SELTST,09/03/2026,365578,09/03/2026,PEDRO GUILHERME,27/03/2026,PAGO,,,,PAGO EM ATRASO,"O chamado no Heflo precisou ser refeito para criação de um noo pedido de compras via Protheus, pois foi preciso mudar a alçada de aprovação devido férias do aprovador Nadson.
Eva Paige: ""Você tem razão, houve um desalinhamento na informação que te passei anteriormente. Peço desculpas por isso.
A previsão atualizada de pagamento é para o dia 27. Vou redobrar a atenção para evitar esse tipo de divergência nas próximas comunicações.
A informação que irá ocorrer no dia 27/03 veio diretamente do contas a pagar, então essa data é garantida de pagamento.""",,,
PAGO,BUONNY,06326025000247,03/03/2026,03/03/2026,23/03/2026,451744,"R$ 74,99",IS,3073,100111,NFS,SERVICO DE RASTREAMENTO VEICULAR,SV230KUHRP4,139478,06/03/2026,SELTSR,09/03/2026,366766,09/03/2026,PEDRO GUILHERME,20/03/2026,PAGO,,,,PAGO NO PRAZO,N/A,,,
PAGO,NISSEYS,59533687000173,04/03/2026,04/03/2026,24/03/2026,48853,"R$ 7.708,85",IS,3073,100111,NFS,SERVICOS DE ARMAZENAMENTO,00110016,139022,04/03/2026,SELTSL,09/03/2026,366208,09/03/2026,PEDRO GUILHERME,27/03/2026,PAGO,,,,PAGO EM ATRASO,"Resposta da Eva: ""Você tem razão, houve um desalinhamento na informação que te passei anteriormente. Peço desculpas por isso.
A previsão atualizada de pagamento é para o dia 27. Vou redobrar a atenção para evitar esse tipo de divergência nas próximas comunicações.
A informação que irá ocorrer no dia 27/03 veio diretamente do contas a pagar, então essa data é garantida de pagamento.""",,,
PAGO,TRES CORACOES ALIMENTOS SA,63310411000101,10/02/2026,12/02/2026,09/03/2026,3480668,"R$ 3.417,60",SAS,3062,010105,NFP,CAFÉ EM PÓ ,,135320,10/02/2026,S41444,19/02/2026,362268,19/02/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,LT TRANSPORTES E LOCACAO LTDA,40592100000179,10/02/2026,10/02/2026,09/03/2026,948,"R$ 27.000,00",SAS,3062,010105,NFS,SERVIÇO DE TRANSPORTE DE COLABORADORES,,138053,26/02/2026,S41467,27/02/2026,363504,27/02/2026,FRANCISCO EDSON,04/03/2026,PAGO,,,,PAGO NO PRAZO,"O pedido guarda chuva antigo foi apagado, por conta da nova regara de faturamento de notas de serviço contra o CNPJ da matriz, tive que aguardar uma posição do time de compras!",,,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,1275423000187,26/02/2026,27/02/2026,25/03/2026,12998,"R$ 6.384,00",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,,,S41233,28/10/2025,364570,03/03/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,EMBPLAST EMBALAGENS DE PLASTICOS LTDA,1275423000187,24/02/2026,27/02/2026,23/03/2026,12989,"R$ 4.791,75",SAS,3062,010105,NFP,MATERIAL PLÁSTICO OPERACIONAL EM GERAL ,,137796,25/02/2026,S41465,27/02/2026,364069,02/03/2026,FRANCISCO EDSON,09/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,ZAP EVENTOS E LOCACOES LTDA ME,10562719000170,18/02/2026,18/02/2026,17/03/2026,4276,"R$ 3.100,00",SAS,3062,010101,NFS,LOCAÇÃO DE CLIMATIZADORES,,136639,19/02/2026,S69386,26/02/2026,363706,27/02/2026,FRANCISCO EDSON,13/03/2026,PAGO,,,,PAGO NO PRAZO,,,,
PAGO,E-SALES,07385111000102,05/03/2026,05/03/2026,25/03/2026,3931,"R$ 5.603,52",IS,3073,100110,NFS,DESENVOLVIMENTO E LICENCIAMENTO,00110046,139715,09/03/2026,SEMAH7,11/03/2026,366359,11/03/2026,PEDRO GUILHERME,26/03/2026,PAGO,,,,PAGO EM ATRASO,,,,
